observation_id,example_idx,concept_index,raw_ce,adjusted_ce
161,13,5,0.5291626378893852,1.0900704860189034
162,13,6,0.5901519786566496,1.1176854880659317
163,13,7,0.06047859694808717,0.03584290925597633
164,13,8,0.03720387816429138,0.01654313076567406
165,13,9,0.04393051657825703,0.02170979499367569
166,13,10,0.04730655439198014,0.04075293815114877
167,13,11,0.02141828648746015,0.01486467024662877
168,13,12,0.0260986927896738,0.0260986927896738
169,14,1,0.3582296719153722,0.5460961099091
170,14,2,0.04815464218457541,0.13156836701854166
171,14,3,0.4470626463492711,0.4887401306248808
172,14,4,0.3796964784463245,0.7178094452095933
173,14,5,0.7941376765569049,1.1781985618793105
174,14,6,0.4276417990525563,0.5555076969952086
175,14,7,0.26511461536089576,0.42167639625026376
176,14,8,0.16375473390022913,0.25817192714464576
177,14,9,0.16325934479633966,0.29700073726835957
178,14,10,0.3288133591413498,0.47263332121971113
179,14,11,0.2893485575914383,0.4331685196697996
180,14,12,0.1651757210493087,0.1651757210493087
181,15,1,0.07632531970739366,0.0603920895377194
182,15,2,0.00719369575381276,0.0015743884164461
183,15,3,0.07339232787489886,0.05757600880168822
184,15,4,0.24597336662312347,0.11147406521434362
185,15,5,0.8985978107278545,0.6941477460771666
186,15,6,0.4392800408725937,0.32205984598730775
187,15,7,0.03424318010608353,0.06084273493575309
188,15,8,-0.00750942652424176,-0.05132293120264955
189,15,9,0.03661973277727763,0.04871018371561946
190,15,10,0.08849635906517506,0.09650460745711416
191,15,11,-0.01325144059956074,-0.00524319220762162
192,15,12,0.0253480952233076,0.0253480952233076
193,16,1,0.00184295947353043,9.3161413118713e-4
194,16,2,0.03598633284370103,0.03727699202896855
195,16,3,0.03713207940260563,0.02050061872973455
196,16,4,0.384798145542542,0.7002744379546695
197,16,5,0.35057257177929074,0.6497437091697968
198,16,6,0.2791388413558403,0.5583658053671122
199,16,7,0.02683753582338488,0.0142068594986945
200,16,8,0.02403658131758369,0.01003320772344184
201,16,9,0.01645712989072003,0.00996005507363834
202,16,10,0.02557448297739029,0.03306327260194109
203,16,11,0.0413548722863197,0.04884366191087049
204,16,12,0.0289326980710029,0.0289326980710029
205,17,1,0.02681860700249671,-0.01337009815290097
206,17,2,0.00197410397231577,0.00159368831267823
207,17,3,0.04986022971570491,0.03256610324622332
208,17,4,0.3930402745803197,0.1943596136167412
209,17,5,0.6912418877085049,0.3230012078011375
210,17,6,0.3914738868673642,0.20804468088413416
211,17,7,0.02150738115111983,0.01422569533951403
212,17,8,0.02252341589579978,0.00624817468379537
213,17,9,0.00731540440271298,0.00469733491745319
214,17,10,0.13970331102609634,0.05720247814860663
215,17,11,0.10738041251897806,0.02487957964148833
216,17,12,0.0311261527240276,0.0311261527240276
217,18,1,0.15562296162048975,0.23929953430783887
218,18,2,-0.3107721650352081,-0.41960117506797134
219,18,3,0.2231154038260381,0.3065989838274852
220,18,4,0.14026579012473434,2.250203798655307
221,18,5,0.6275358361502489,2.4027290087202067
222,18,6,0.6373783511420089,2.6602005468708163
223,18,7,0.09765859072407088,0.1165064758850392
224,18,8,-0.05832129220167796,-0.0150973548310964
225,18,9,0.07579219465454418,0.109457488488308
226,18,10,0.5930526554584503,0.7239078572361359
227,18,11,0.3148694336414337,0.4457246354191194
228,18,12,0.0925943404436111,0.0925943404436111
229,19,1,0.06159488484263416,0.08568261718805209
230,19,2,0.37501244246959686,0.354847602349877
231,19,3,0.17927024140954018,0.19068610871379477
232,19,4,0.08801366388797757,0.21819073548545617
233,19,5,0.7460227981209755,0.5965792405302761
234,19,6,0.374077208340168,0.3588524904178536
235,19,7,0.04258336840818326,0.04987874126868855
236,19,8,0.00693094699333106,1.2039320715422e-4
237,19,9,0.03505963149170076,0.03849114385892142
238,19,10,0.15876655094325545,0.12961613973268749
239,19,11,0.07791519351303575,0.04876478230246778
