dataset,row_category,column_category,co_grouped_pairs,eligible_pairs,co_grouping_percent
medqa,Anatomy & localization,Physical examination,3,25,12.000000
medqa,Anatomy & localization,Reproductive history,0,4,0.000000
medqa,Anatomy & localization,"Risk, exposure & trauma",0,3,0.000000
medqa,Anatomy & localization,Symptoms,2,12,16.666667
medqa,Anatomy & localization,Timing & course,0,14,0.000000
medqa,Anatomy & localization,Treatment & response,0,2,0.000000
medqa,Anatomy & localization,Vitals & anthropometrics,0,12,0.000000
medqa,Care context,Anatomy & localization,0,9,0.000000
medqa,Care context,Care context,0,6,0.000000
medqa,Care context,Demographics,0,101,0.000000
medqa,Care context,Diagnosis & reasoning,0,6,0.000000
medqa,Care context,Diagnostic tests,0,13,0.000000
medqa,Care context,"Family, social & lifestyle",0,42,0.000000
medqa,Care context,Imaging,1,22,4.545455
medqa,Care context,Laboratory & pathology,2,44,4.545455
medqa,Care context,Medical history,1,31,3.225806
medqa,Care context,Medication & adherence,1,16,6.250000
medqa,Care context,Mental health & cognition,0,14,0.000000
medqa,Care context,Neurologic function,0,12,0.000000
medqa,Care context,Physical examination,0,57,0.000000
medqa,Care context,Reproductive history,0,19,0.000000
medqa,Care context,"Risk, exposure & trauma",0,5,0.000000
medqa,Care context,Symptoms,3,69,4.347826
medqa,Care context,Timing & course,3,23,13.043478
medqa,Care context,Treatment & response,2,11,18.181818
medqa,Care context,Vitals & anthropometrics,1,42,2.380952
medqa,Demographics,Anatomy & localization,2,27,7.407407
medqa,Demographics,Care context,0,101,0.000000
medqa,Demographics,Demographics,3,75,4.000000
medqa,Demographics,Diagnosis & reasoning,0,16,0.000000
medqa,Demographics,Diagnostic tests,0,32,0.000000
medqa,Demographics,"Family, social & lifestyle",2,94,2.127660
medqa,Demographics,Imaging,1,54,1.851852
medqa,Demographics,Laboratory & pathology,0,121,0.000000
medqa,Demographics,Medical history,0,85,0.000000
medqa,Demographics,Medication & adherence,0,57,0.000000
medqa,Demographics,Mental health & cognition,0,52,0.000000
medqa,Demographics,Neurologic function,2,36,5.555556
medqa,Demographics,Physical examination,3,155,1.935484
medqa,Demographics,Reproductive history,0,40,0.000000
medqa,Demographics,"Risk, exposure & trauma",0,18,0.000000
medqa,Demographics,Symptoms,0,191,0.000000
medqa,Demographics,Timing & course,0,65,0.000000
